Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
31/01/2022,0.0,03:36:00,97,100,39,100,100,100,6,Good,Q1_2022,1,2022
31/12/2023,202.1,150.41666666666666,100,100,97,100,100,95,1,Good,Q4_2023,12,2023
31/05/2023,367.9,147.36666666666667,95,100,74,100,100,85,119,Good,Q2_2023,5,2023
31/01/2023,6778.3,6.366666666666666,88,100,42,94,100,87,50,Good,Q4_2022,1,2022
31/10/2023,5905.3,107.93333333333334,88,97,47,100,98,86,118,Good,Q2_2022,6,2023
31/07/2022,5886.1,104.18333333333334,75,100,35,100,100,85,105,Good,Q3_2022,8,2022
31/01/2023,6898.0,145.71666666666667,87,100,57,91,99,85,35,Good,Q3_2023,10,2023
31/05/2023,5247.2,221.18333333333334,90,100,76,100,100,89,78,Good,Q2_2023,8,2023
28/02/2023,7160.6,6.366666666666666,84,100,58,100,100,86,9,Good,Q4_2023,2,2023
31/10/2022,5627.6,129.28333333333333,95,100,73,100,96,88,86,Good,Q4_2022,2,2022
30/04/2023,4843.7,9.816666666666666,97,100,35,100,97,84,144,Good,Q1_2023,4,2023
28/02/2022,2878.1,87.48333333333333,88,100,24,100,94,86,40,Good,Q2_2022,5,2022
31/01/2024,6751.4,188.01666666666668,83,95,41,100,99,85,109,Good,Q4_2023,12,2024
30/11/2022,9456.7,105.21666666666667,92,100,40,100,100,74,124,Good,Q4_2022,10,2022
31/10/2023,4639.6,153.36666666666667,68,99,47,99,100,93,98,Good,Q3_2023,9,2023
30/06/2022,5869.0,08:24:00,91,100,28,99,99,83,74,Good,Q2_2022,6,2022
30/06/2022,6420.6,2.6666666666666665,83,100,28,100,100,84,70,Good,Q2_2022,6,2022
30/09/2023,5444.0,174.78333333333333,81,100,50,98,99,85,84,Risky,Q3_2023,9,2023
30/11/2023,7982.4,129.11666666666667,79,96,47,100,100,82,62,Good,Q4_2023,12,2023
30/09/2022,21.3,09:36:00,84,100,79,100,100,81,32,Good,Q2_2022,2,2023
31/10/2022,72.6,13:12:00,94,100,41,100,100,94,48,Good,Q3_2022,6,2022
30/11/2023,6242.1,145.83333333333334,74,95,49,100,98,87,125,Good,Q4_2023,12,2024
29/02/2024,4663.6,147.36666666666667,100,100,37,100,100,88,100,Good,Q1_2022,2,2023
30/09/2022,5705.8,14.283333333333333,99,100,24,100,100,90,84,Good,Q3_2022,9,2022
30/09/2023,4886.0,153.36666666666667,78,100,44,100,100,82,149,Good,Q3_2023,6,2023
30/06/2022,5625.7,79.93333333333334,79,99,42,96,99,86,137,Good,Q1_2022,9,2022
31/01/2023,8598.6,163.66666666666666,76,100,69,100,100,86,18,Good,Q4_2023,11,2022
30/06/2023,5322.6,221.18333333333334,88,100,54,100,98,85,127,Good,Q2_2023,5,2023
30/06/2023,6767.5,15:36:00,95,100,90,100,100,94,11,Good,Q3_2023,7,2023
31/10/2023,613.1,79.93333333333334,97,99,93,98,100,90,46,Good,Q3_2023,9,2023
31/10/2023,6297.4,135.61666666666667,88,100,49,99,98,88,122,Good,Q3_2023,11,2023
30/04/2023,6223.3,125.53333333333333,83,100,44,100,100,85,70,Good,Q1_2023,3,2023
31/01/2024,7422.4,64.93333333333334,89,98,30,100,96,83,117,Good,Q4_2023,11,2024
31/05/2023,120.5,126.63333333333334,100,100,56,100,100,90,14,Good,Q2_2023,7,2023
31/08/2023,0.0,14:24:00,68,100,45,100,100,75,123,Good,Q1_2023,6,2023
31/12/2022,9232.1,100.16666666666667,89,100,49,100,100,88,101,Good,Q4_2022,12,2022
30/06/2023,6803.0,08:24:00,96,100,60,100,100,87,97,Good,Q2_2023,6,2023
31/05/2023,0.0,19:12:00,100,100,72,100,100,100,8,Good,Q1_2024,2,2023
29/02/2024,3441.0,164.96666666666667,91,100,21,100,100,86,71,Good,Q3_2022,9,2022
28/02/2023,4725.2,147.58333333333334,71,100,53,100,99,80,158,Good,Q1_2023,2,2023
28/02/2022,5751.7,01:12:00,99,100,39,96,97,84,98,Good,Q1_2022,2,2022
31/01/2024,6014.1,444.3833333333333,91,99,46,94,99,86,120,Good,Q4_2023,1,2023
31/12/2023,6252.5,256.26666666666665,69,100,49,100,100,88,106,Risky,Q4_2023,12,2023
31/03/2023,5310.3,161.61666666666667,80,95,30,100,100,75,157,Good,Q1_2022,3,2022
31/10/2023,8923.2,173.38333333333333,99,100,69,100,99,86,69,Good,Q2_2023,5,2023
31/08/2023,6491.9,61.583333333333336,99,99,75,98,96,89,89,Good,Q3_2023,9,2023
30/04/2022,5513.5,8.383333333333333,94,100,26,100,100,85,132,Good,Q1_2022,4,2022
30/06/2022,4260.5,175.76666666666668,85,100,34,100,100,80,86,Good,Q2_2022,10,2022
28/02/2022,3955.9,106.68333333333334,85,100,48,100,100,83,163,Good,Q1_2022,2,2022
31/08/2022,5756.5,143.83333333333334,86,100,44,90,91,86,131,Good,Q3_2022,9,2022
30/11/2023,8193.8,185.48333333333332,59,100,50,98,100,87,91,Good,Q4_2023,12,2023
30/11/2023,9450.1,267.68333333333334,87,100,43,100,100,85,87,Good,Q4_2023,11,2023
31/08/2022,8225.4,6.366666666666666,90,100,55,95,96,90,48,Good,Q2_2022,7,2022
30/06/2022,3036.4,6.366666666666666,89,100,42,100,100,81,94,Good,Q4_2022,6,2023
31/05/2023,5104.4,221.18333333333334,99,100,47,100,100,89,17,Good,Q2_2023,5,2023
31/01/2022,4490.1,87.48333333333333,79,100,30,99,99,87,39,Good,Q1_2022,1,2022
30/06/2023,0.0,87.48333333333333,100,100,58,100,100,86,85,Good,Q2_2023,7,2023
31/12/2022,9203.7,03:36:00,85,100,37,100,99,81,71,Good,Q4_2022,2,2023
31/05/2022,5062.7,162.88333333333333,89,100,39,100,100,85,73,Good,Q2_2022,6,2022
31/03/2022,0.0,9.816666666666666,100,100,45,100,100,85,16,Good,Q1_2022,2,2022
31/03/2022,4789.0,87.48333333333333,100,100,39,99,100,84,38,Good,Q1_2022,3,2022
31/03/2022,8358.1,6.366666666666666,93,100,52,98,99,88,116,Good,Q2_2022,6,2022
31/03/2022,2215.0,127.68333333333334,96,100,37,100,100,88,68,Good,Q1_2022,3,2022
31/08/2022,5979.2,63.68333333333333,92,95,47,96,95,89,55,Good,Q3_2022,9,2022
31/03/2023,5186.3,169.21666666666667,72,100,26,99,100,86,146,Good,Q1_2023,3,2023
28/02/2023,4463.5,197.61666666666667,100,100,49,100,100,89,72,Good,Q1_2023,2,2023
31/03/2023,8228.8,153.03333333333333,59,100,36,100,99,78,151,Risky,Q1_2023,3,2023
28/02/2022,5053.0,139.61666666666667,96,93,35,98,90,75,115,Good,Q1_2022,2,2022
30/09/2022,5007.6,02:00:00,93,98,37,99,91,84,98,Good,Q3_2022,6,2022
30/11/2022,0.0,112.18333333333334,99,100,100,100,100,100,1,Good,Q1_2024,2,2023
30/06/2022,1849.7,06:00:00,93,100,44,100,100,87,89,Good,Q3_2023,5,2022
28/02/2023,4443.5,224.83333333333334,39,97,46,100,100,81,147,Risky,Q1_2023,2,2023
29/02/2024,5151.2,9.816666666666666,79,100,53,100,100,85,44,Risky,Q1_2024,2,2024
29/02/2024,7174.1,75.86666666666666,74,100,52,100,98,72,115,Risky,Q1_2024,2,2024
30/06/2022,5342.6,152.36666666666667,79,100,53,100,99,82,124,Good,Q2_2022,8,2022
29/02/2024,0.0,46.36666666666667,59,100,75,100,100,86,91,Good,Q1_2024,2,2024
31/08/2023,8119.4,222.83333333333334,96,100,62,100,100,91,140,Risky,Q3_2023,7,2023
30/11/2022,0.0,02:24:00,99,100,82,100,100,94,18,Good,Q4_2022,5,2022
31/08/2022,4941.6,99.61666666666666,78,100,42,100,100,86,114,Good,Q4_2022,5,2023
31/12/2023,6532.9,267.68333333333334,90,100,49,100,100,89,103,Good,Q4_2023,12,2023
29/02/2024,5587.3,224.83333333333334,95,100,59,100,100,88,16,Good,Q4_2022,2,2022
30/04/2023,213.1,87.31666666666666,100,100,100,99,100,85,71,Good,Q1_2023,4,2023
31/03/2022,6993.4,142.63333333333333,82,100,35,100,100,88,106,Good,Q1_2022,3,2022
31/12/2022,6840.4,200.83333333333334,98,100,56,100,99,94,36,Good,Q4_2022,12,2022
30/11/2022,0.0,46.483333333333334,100,100,74,100,100,95,38,Good,Q4_2022,1,2023
30/09/2022,7488.9,131.08333333333334,100,100,35,100,100,87,41,Good,Q3_2022,9,2022
31/10/2023,6920.9,128.18333333333334,72,100,49,100,97,82,146,Risky,Q3_2023,10,2023
30/09/2023,4363.0,276.8333333333333,87,100,49,100,99,79,35,Good,Q3_2023,9,2023
30/09/2023,7394.9,181.28333333333333,56,100,52,98,91,76,85,Good,Q3_2023,9,2023
30/11/2022,116.1,254.96666666666667,91,100,47,100,100,92,21,Good,Q4_2022,12,2022
30/06/2023,8797.0,176.36666666666667,89,95,38,100,100,90,119,Good,Q2_2023,9,2023
31/07/2023,6135.9,135.56666666666666,88,98,24,94,98,85,95,Good,Q3_2023,9,2023
28/02/2023,422.7,156.83333333333334,99,100,70,100,100,98,14,Good,Q2_2023,2,2023
31/07/2022,5744.6,09:36:00,96,99,44,100,100,88,78,Good,Q2_2022,6,2022
30/04/2023,258.5,197.61666666666667,99,100,58,100,99,91,13,Good,Q1_2023,3,2023
28/02/2022,4197.3,48.333333333333336,100,100,37,100,100,86,4,Good,Q1_2024,1,2024
31/01/2024,7437.6,206.66666666666666,69,100,58,100,98,81,138,Risky,Q4_2023,1,2024
30/04/2022,5024.6,126.33333333333333,87,95,37,100,100,79,96,Good,Q1_2022,4,2022
31/03/2022,5883.9,127.68333333333334,89,93,41,99,99,85,115,Good,Q1_2022,3,2022
31/12/2022,4420.7,124.96666666666667,88,100,30,99,99,87,77,Good,Q4_2022,11,2022
31/03/2022,5803.6,12:00:00,94,100,51,100,100,85,92,Good,Q1_2022,3,2022
30/06/2023,75.0,6.266666666666667,100,100,43,100,100,85,14,Good,Q2_2023,6,2023
28/02/2022,5.2,8.383333333333333,100,100,83,100,100,92,34,Good,Q2_2023,2,2023
31/01/2024,6433.9,235.53333333333333,90,100,86,100,100,100,36,Good,Q4_2023,1,2024
30/04/2022,6280.1,147.36666666666667,96,100,55,100,100,87,79,Good,Q1_2022,2,2022
31/03/2023,3379.9,156.83333333333334,84,100,48,100,100,88,54,Good,Q1_2023,3,2023
31/08/2023,5635.8,124.33333333333333,86,100,69,100,100,86,87,Good,Q1_2024,2,2024
31/12/2023,8894.7,444.3833333333333,92,100,55,100,100,89,43,Good,Q4_2023,12,2023
29/02/2024,0.0,6.366666666666666,99,100,64,100,100,88,14,Good,Q1_2023,1,2023
31/07/2023,9608.9,121.38333333333334,95,100,44,100,100,83,121,Good,Q2_2023,6,2023
31/03/2022,0.0,87.48333333333333,97,100,37,100,100,84,55,Good,Q1_2022,3,2022
30/06/2023,9551.8,170.61666666666667,99,100,48,100,100,87,128,Good,Q2_2023,9,2023
31/12/2022,9913.9,00:00:00,90,100,23,100,99,89,123,Good,Q4_2022,1,2022
30/06/2022,6196.7,03:36:00,88,100,31,100,94,85,120,Good,Q2_2022,6,2022
30/11/2022,0.0,107.13333333333334,99,100,36,100,100,90,136,Good,Q4_2022,2,2023
31/03/2022,3635.5,161.61666666666667,85,97,37,99,99,85,66,Good,Q1_2022,3,2022
31/05/2022,2493.3,20:24:00,99,100,100,100,100,92,11,Good,Q1_2022,9,2022
31/08/2023,6905.6,142.31666666666666,88,100,34,95,96,83,88,Good,Q3_2023,7,2023
30/11/2022,5161.4,97.46666666666667,97,100,34,100,100,87,80,Good,Q2_2022,1,2022
30/09/2023,5097.4,61.583333333333336,95,100,60,100,100,83,89,Good,Q3_2023,10,2023
31/05/2023,5630.8,118.53333333333333,85,100,31,98,99,84,85,Good,Q2_2023,5,2023
31/12/2023,8403.8,174.63333333333333,73,98,44,97,100,73,112,Risky,Q4_2023,12,2023
31/07/2022,6331.3,99.61666666666666,82,95,52,100,99,78,111,Good,Q2_2022,10,2022
30/11/2023,8289.1,235.53333333333333,85,100,63,100,100,84,144,Risky,Q4_2023,12,2023
31/12/2023,9631.8,57.233333333333334,74,100,41,100,100,84,80,Good,Q4_2023,12,2023
31/10/2022,5709.9,46.56666666666667,90,99,38,95,94,81,82,Good,Q3_2022,10,2022
28/02/2022,65.1,8.383333333333333,95,100,36,100,100,70,155,Risky,Q4_2023,12,2023
28/02/2023,5011.2,00:00:00,100,100,45,99,100,100,1,Good,Q2_2022,2,2022
31/07/2022,1768.1,126.63333333333334,85,100,100,100,100,94,104,Good,Q2_2022,8,2022
31/05/2022,5669.3,105.43333333333334,89,100,36,100,100,86,140,Good,Q2_2022,8,2022
28/02/2022,3889.5,0.8333333333333334,100,100,100,100,100,92,14,Good,Q1_2024,2,2024
30/09/2023,5317.5,170.61666666666667,91,100,74,100,83,92,39,Good,Q3_2023,9,2023
31/07/2022,5676.0,86.81666666666666,96,100,37,99,100,86,47,Good,Q2_2023,8,2023
31/08/2023,10168.6,11.833333333333334,90,98,50,100,100,80,77,Good,Q3_2023,9,2023
31/03/2022,6322.5,142.33333333333334,78,100,46,95,99,78,162,Risky,Q1_2022,3,2022
29/02/2024,3996.2,131.88333333333333,83,100,43,100,95,85,147,Good,Q1_2024,2,2024
30/09/2023,5751.9,235.36666666666667,88,100,74,100,98,87,125,Good,Q3_2023,9,2023
30/04/2023,6736.1,96.21666666666667,95,100,36,98,100,81,165,Risky,Q1_2023,3,2023
31/01/2024,8037.9,101.28333333333333,80,100,71,100,100,83,140,Good,Q4_2023,1,2024
